Metric;Model,WinRateWithTie
question5;gpt-3.5-turbo-1106;lc-percentile,1.0
question0;gpt-3.5-turbo-1106;lc-percentile,0.0
question5;gpt-3.5-turbo-1106;gpt-4-0613,1.0
question6;lc-percentile;gpt-3.5-turbo-1106,0.5
question4;gpt-3.5-turbo-1106;lc-standard_deviation,1.0
question6;gpt-3.5-turbo-1106;lc-interquartile,0.5
question1;gpt-4-0613;gpt-3.5-turbo-1106,1.0
question6;lc-standard_deviation;gpt-3.5-turbo-1106,0.0
question8;gpt-3.5-turbo-1106;lc-interquartile,0.5
question9;gpt-3.5-turbo-1106;lc-standard_deviation,0.0
question6;gpt-4-0613;gpt-3.5-turbo-1106,0.5
question7;lc-standard_deviation;gpt-3.5-turbo-1106,0.0
question5;gpt-4-0613;gpt-3.5-turbo-1106,0.0
question2;lc-interquartile;gpt-3.5-turbo-1106,0.0
question2;gpt-3.5-turbo-1106;gpt-4-0613,0.0
question3;gpt-3.5-turbo-1106;lc-interquartile,0.0
question3;lc-percentile;gpt-3.5-turbo-1106,1.0
question9;lc-standard_deviation;gpt-3.5-turbo-1106,1.0
question7;gpt-3.5-turbo-1106;lc-interquartile,0.5
question2;gpt-4-0613;gpt-3.5-turbo-1106,1.0
question3;gpt-4-0613;gpt-3.5-turbo-1106,1.0
question4;lc-interquartile;gpt-3.5-turbo-1106,0.0
question1;gpt-3.5-turbo-1106;gpt-4-0613,0.0
question4;gpt-3.5-turbo-1106;lc-interquartile,1.0
question2;lc-standard_deviation;gpt-3.5-turbo-1106,0.0
question9;lc-percentile;gpt-3.5-turbo-1106,0.5
question6;gpt-3.5-turbo-1106;gpt-4-0613,0.5
question6;gpt-3.5-turbo-1106;lc-percentile,0.5
question0;lc-percentile;gpt-3.5-turbo-1106,1.0
question3;lc-interquartile;gpt-3.5-turbo-1106,1.0
question8;lc-interquartile;gpt-3.5-turbo-1106,0.5
question8;gpt-3.5-turbo-1106;lc-percentile,0.5
question5;lc-interquartile;gpt-3.5-turbo-1106,0.5
question2;gpt-3.5-turbo-1106;lc-standard_deviation,1.0
question7;lc-percentile;gpt-3.5-turbo-1106,0.0
question0;gpt-3.5-turbo-1106;lc-interquartile,0.0
question2;lc-percentile;gpt-3.5-turbo-1106,0.0
question2;gpt-3.5-turbo-1106;lc-percentile,1.0
question8;lc-standard_deviation;gpt-3.5-turbo-1106,0.5
question1;gpt-3.5-turbo-1106;lc-percentile,0.5
question9;gpt-4-0613;gpt-3.5-turbo-1106,1.0
question0;gpt-3.5-turbo-1106;lc-standard_deviation,0.0
question4;gpt-3.5-turbo-1106;lc-percentile,1.0
question7;gpt-4-0613;gpt-3.5-turbo-1106,0.0
question9;gpt-3.5-turbo-1106;lc-interquartile,0.5
question1;gpt-3.5-turbo-1106;lc-standard_deviation,0.5
question4;gpt-3.5-turbo-1106;gpt-4-0613,0.5
question4;gpt-4-0613;gpt-3.5-turbo-1106,0.5
question1;lc-percentile;gpt-3.5-turbo-1106,0.5
question5;lc-percentile;gpt-3.5-turbo-1106,0.0
question0;lc-interquartile;gpt-3.5-turbo-1106,1.0
question1;gpt-3.5-turbo-1106;lc-interquartile,0.5
question9;lc-interquartile;gpt-3.5-turbo-1106,0.5
question2;gpt-3.5-turbo-1106;lc-interquartile,1.0
question0;gpt-4-0613;gpt-3.5-turbo-1106,1.0
question8;gpt-4-0613;gpt-3.5-turbo-1106,0.5
question3;gpt-3.5-turbo-1106;gpt-4-0613,0.0
question4;lc-standard_deviation;gpt-3.5-turbo-1106,0.0
question8;lc-percentile;gpt-3.5-turbo-1106,0.5
question3;gpt-3.5-turbo-1106;lc-standard_deviation,0.0
question5;gpt-3.5-turbo-1106;lc-interquartile,0.5
question3;gpt-3.5-turbo-1106;lc-percentile,0.0
question9;gpt-3.5-turbo-1106;lc-percentile,0.5
question6;gpt-3.5-turbo-1106;lc-standard_deviation,1.0
question0;gpt-3.5-turbo-1106;gpt-4-0613,0.0
question7;gpt-3.5-turbo-1106;lc-percentile,1.0
question6;lc-interquartile;gpt-3.5-turbo-1106,0.5
question1;lc-interquartile;gpt-3.5-turbo-1106,0.5
question1;lc-standard_deviation;gpt-3.5-turbo-1106,0.5
question5;lc-standard_deviation;gpt-3.5-turbo-1106,0.0
question7;gpt-3.5-turbo-1106;lc-standard_deviation,1.0
question7;gpt-3.5-turbo-1106;gpt-4-0613,1.0
question3;lc-standard_deviation;gpt-3.5-turbo-1106,1.0
question8;gpt-3.5-turbo-1106;gpt-4-0613,0.5
question9;gpt-3.5-turbo-1106;gpt-4-0613,0.0
question8;gpt-3.5-turbo-1106;lc-standard_deviation,0.5
question4;lc-percentile;gpt-3.5-turbo-1106,0.0
question0;lc-standard_deviation;gpt-3.5-turbo-1106,1.0
question5;gpt-3.5-turbo-1106;lc-standard_deviation,1.0
question7;lc-interquartile;gpt-3.5-turbo-1106,0.5
